tailnum,model,seats
N10156,EMB-145XR,55
N102UW,A320-214,182
N103US,A320-214,182
N104UW,A320-214,182
N10575,EMB-145LR,55
N105UW,A320-214,182
N107US,A320-214,182
N108UW,A320-214,182
N109UW,A320-214,182
N110UW,A320-214,182
N11106,EMB-145XR,55
N11107,EMB-145XR,55
N11109,EMB-145XR,55
N11113,EMB-145XR,55
N11119,EMB-145XR,55
N11121,EMB-145XR,55
N11127,EMB-145XR,55
N11137,EMB-145XR,55
N11140,EMB-145XR,55
N11150,EMB-145XR,55
N11155,EMB-145XR,55
N11164,EMB-145XR,55
N11165,EMB-145XR,55
N11176,EMB-145XR,55
N11181,EMB-145XR,55
N11184,EMB-145XR,55
N11187,EMB-145XR,55
N11189,EMB-145XR,55
N11191,EMB-145XR,55
N11192,EMB-145XR,55
N11193,EMB-145XR,55
N11194,EMB-145XR,55
N11199,EMB-145XR,55
N111US,A320-214,182
N11206,737-824,149
N112US,A320-214,182
N113UW,A320-214,182
N114UW,A320-214,182
N11535,EMB-145LR,55
N11536,EMB-145LR,55
N11539,EMB-145LR,55
N11544,EMB-145LR,55
N11547,EMB-145LR,55
N11548,EMB-145LR,55
N11551,EMB-145LR,55
N11565,EMB-145LR,55
N117UW,A320-214,182
N118US,A320-214,182
N119US,A320-214,182
N1200K,767-332,330
N1201P,767-332,330
N12109,757-224,178
N12114,757-224,178
N12116,757-224,178
N12122,EMB-145XR,55
N12125,757-224,178
N12126,EMB-145XR,55
N12135,EMB-145XR,55
N12136,EMB-145XR,55
N12142,EMB-145XR,55
N12145,EMB-145XR,55
N12157,EMB-145XR,55
N12160,EMB-145XR,55
N12163,EMB-145XR,55
N12166,EMB-145XR,55
N12167,EMB-145XR,55
N12172,EMB-145XR,55
N12175,EMB-145XR,55
N12195,EMB-145XR,55
N121DE,767-332,330
N121UW,A320-214,182
N12201,EMB-145XR,55
N12216,737-824,149
N12218,737-824,149
N12221,737-824,149
N12225,737-824,149
N12238,737-824,149
N122US,A320-214,182
N123UW,A320-214,182
N124US,A320-214,182
N12540,EMB-145LR,55
N12552,EMB-145LR,55
N12563,EMB-145LR,55
N12564,EMB-145LR,55
N12567,EMB-145LR,55
N12569,EMB-145LR,55
N125UW,A320-214,182
N126UW,A320-214,182
N127UW,A320-214,182
N128UW,A320-214,182
N12900,EMB-145LR,55
N12921,EMB-145LR,55
N12922,EMB-145LR,55
N12924,EMB-145LR,55
N12957,EMB-145LR,55
N12967,EMB-145LR,55
N12996,EMB-145LR,55
N13110,757-224,178
N13113,757-224,178
N13118,EMB-145XR,55
N13123,EMB-145XR,55
N13124,EMB-145XR,55
N13132,EMB-145XR,55
N13133,EMB-145XR,55
N13138,757-224,178
N13161,EMB-145XR,55
N131EV,CL-600-2D24,95
N13202,EMB-145XR,55
N13248,737-824,149
N132EV,CL-600-2D24,95
N133EV,CL-600-2D24,95
N134EV,CL-600-2D24,95
N13538,EMB-145LR,55
N13550,EMB-145LR,55
N13553,EMB-145LR,55
N13566,EMB-145LR,55
N135EV,CL-600-2D24,95
N136DL,767-332,330
N136EV,CL-600-2D24,95
N13716,737-724,149
N13718,737-724,149
N13750,737-724,149
N137DL,767-332,330
N137EV,CL-600-2D24,95
N138EV,CL-600-2D24,95
N13903,EMB-145LR,55
N13908,EMB-145LR,55
N13913,EMB-145LR,55
N13914,EMB-145LR,55
N13949,EMB-145LR,55
N13955,EMB-145LR,55
N13956,EMB-145LR,55
N13958,EMB-145LR,55
N13964,EMB-145LR,55
N13965,EMB-145LR,55
N13968,EMB-145LR,55
N13969,EMB-145LR,55
N13970,EMB-145LR,55
N13975,EMB-145LR,55
N13978,EMB-145LR,55
N13979,EMB-145LR,55
N13988,EMB-145LR,55
N13989,EMB-145LR,55
N13992,EMB-145LR,55
N13994,EMB-145LR,55
N13995,EMB-145LR,55
N13997,EMB-145LR,55
N14102,757-224,178
N14105,EMB-145XR,55
N14106,757-224,178
N14107,757-224,178
N14115,757-224,178
N14116,EMB-145XR,55
N14117,EMB-145XR,55
N14118,757-224,178
N14120,757-224,178
N14121,757-224,178
N14125,EMB-145XR,55
N14143,EMB-145XR,55
N14148,EMB-145XR,55
N14153,EMB-145XR,55
N14158,EMB-145XR,55
N14162,EMB-145XR,55
